,article_title,country,revision_id,article_quality,population,region
0,Shahjahan Noori,Afghanistan,1099689043,GA,41.1,SOUTH ASIA
1,Abdul Ghafar Lakanwal,Afghanistan,943562276,Start,41.1,SOUTH ASIA
2,Majah Ha Adrif,Afghanistan,852404094,Start,41.1,SOUTH ASIA
3,Haroon al-Afghani,Afghanistan,1095102390,B,41.1,SOUTH ASIA
4,Tayyab Agha,Afghanistan,1104998382,Start,41.1,SOUTH ASIA
5,Ahmadullah Wasiq,Afghanistan,1109361754,Start,41.1,SOUTH ASIA
6,Aziza Ahmadyar,Afghanistan,1087211008,Start,41.1,SOUTH ASIA
7,Muqadasa Ahmadzai,Afghanistan,1082489593,Start,41.1,SOUTH ASIA
8,Mohammad Sarwar Ahmedzai,Afghanistan,1038918070,Start,41.1,SOUTH ASIA
9,Amir Muhammad Akhundzada,Afghanistan,1069322182,Start,41.1,SOUTH ASIA
10,Nasrullah Baryalai Arsalai,Afghanistan,1095526840,Start,41.1,SOUTH ASIA
11,Mohammad Asim Asim,Afghanistan,1013838830,Stub,41.1,SOUTH ASIA
12,Atiqullah Atifmal,Afghanistan,1112407669,Start,41.1,SOUTH ASIA
13,Abdul Rahim Ayoubi,Afghanistan,1108886061,Start,41.1,SOUTH ASIA
14,Alhaj Mutalib Baig,Afghanistan,1111494041,Start,41.1,SOUTH ASIA
15,Ismael Balkhi,Afghanistan,1112534409,Start,41.1,SOUTH ASIA
16,Abdul Baqi Turkistani,Afghanistan,889226470,Stub,41.1,SOUTH ASIA
17,Mohammad Ghous Bashiri,Afghanistan,1102150221,Start,41.1,SOUTH ASIA
18,Abas Basir,Afghanistan,1098419766,C,41.1,SOUTH ASIA
19,Jan Baz,Afghanistan,997027082,Stub,41.1,SOUTH ASIA
20,Ahmad Behzad,Afghanistan,1103948295,Start,41.1,SOUTH ASIA
21,Bashir Ahmad Bezan,Afghanistan,1060707209,Start,41.1,SOUTH ASIA
22,Rafiullah Bidar,Afghanistan,977208323,Stub,41.1,SOUTH ASIA
23,Mohammad Siddiq Chakari,Afghanistan,1105913099,Stub,41.1,SOUTH ASIA
24,Cheragh Ali Cheragh,Afghanistan,1087211968,Start,41.1,SOUTH ASIA
25,Nasir Ahmad Durrani,Afghanistan,988838315,Stub,41.1,SOUTH ASIA
26,Elay Ershad,Afghanistan,1102489654,Stub,41.1,SOUTH ASIA
27,Muhammad Hashim Esmatullahi,Afghanistan,949986748,Stub,41.1,SOUTH ASIA
28,Ezatullah (Nangarhar),Afghanistan,947885788,Stub,41.1,SOUTH ASIA
29,Aimal Faizi,Afghanistan,1033383351,Stub,41.1,SOUTH ASIA
30,Mohammad Nasim Faqiri,Afghanistan,1098051193,Start,41.1,SOUTH ASIA
31,Mohammad Nazar Faqiri,Afghanistan,1095525798,Stub,41.1,SOUTH ASIA
32,Sharif Ghalib,Afghanistan,1041460606,B,41.1,SOUTH ASIA
33,Hashmat Ghani Ahmadzai,Afghanistan,1112933356,C,41.1,SOUTH ASIA
34,Abdul Ghani Ghani,Afghanistan,1072441893,Stub,41.1,SOUTH ASIA
35,Ashraf Ghani,Afghanistan,1113195582,B,41.1,SOUTH ASIA
36,Abdul Samad Ghaus,Afghanistan,1072271854,Stub,41.1,SOUTH ASIA
37,Ghulam Ghaus,Afghanistan,1115758710,Stub,41.1,SOUTH ASIA
38,Ghulam Muhammad Ghobar,Afghanistan,1108886395,Stub,41.1,SOUTH ASIA
39,Mohammad Gul (Helmand Council),Afghanistan,1092523687,Stub,41.1,SOUTH ASIA
40,Ghulam Haider Hamidi,Afghanistan,1095018556,Start,41.1,SOUTH ASIA
41,Rangina Hamidi,Afghanistan,1104280812,C,41.1,SOUTH ASIA
42,Abdul Malik Hamwar,Afghanistan,1100874645,Stub,41.1,SOUTH ASIA
43,Sayed Zafar Hashemi,Afghanistan,1112804808,Start,41.1,SOUTH ASIA
44,Qutbuddin Hilal,Afghanistan,1104423275,Start,41.1,SOUTH ASIA
45,Shahnaz Himmeti,Afghanistan,909966254,Stub,41.1,SOUTH ASIA
